# Time-averaged data for fix myrdf
# TimeStep Number-of-rows
# Row c_rdfAABBAB[1] c_rdfAABBAB[2] c_rdfAABBAB[3] c_rdfAABBAB[4] c_rdfAABBAB[5] c_rdfAABBAB[6] c_rdfAABBAB[7]
200 25
1 0.05 0 0 0 0 0 0
2 0.15 0 0 0 0 0 0
3 0.25 0 0 0 0 0 0
4 0.35 0 0 0 0 0 0
5 0.45 0 0 0 0 0 0
6 0.55 0 0 0 0 0 0
7 0.65 0 0 0.00980727 0.00125 0.00365934 0.00046875
8 0.75 0 0 2.35839 0.40125 0.775476 0.132656
9 0.85 0.142955 0.125 6.88769 1.90125 1.50486 0.462031
10 0.95 2.50545 2.86094 5.92888 3.51375 0.809429 0.683281
11 1.05 2.2413 5.85031 3.89085 4.80625 0.542426 0.864375
12 1.15 1.3014 7.93219 2.95224 5.9825 0.476052 1.055
13 1.25 0.947667 9.72313 2.90268 7.34875 0.513621 1.29797
14 1.35 0.850388 11.5975 2.88269 8.93125 0.520244 1.585
15 1.45 0.738166 13.4744 2.74765 10.6713 0.65009 1.99875
16 1.55 0.749284 15.6513 2.91428 12.78 0.787022 2.57109
17 1.65 0.908803 18.6431 2.79747 15.0738 0.851542 3.27281
18 1.75 1.03182 22.4641 2.54119 17.4175 0.862383 4.07219
19 1.85 1.18059 27.3497 2.3819 19.8725 0.849829 4.9525
20 1.95 1.2176 32.9478 2.32403 22.5338 0.792346 5.86437
21 2.05 1.13642 38.7222 2.23621 25.3638 0.79225 6.87203
22 2.15 1.06964 44.7003 2.36623 28.6575 0.819794 8.01891
23 2.25 0.998539 50.8122 2.19996 32.0113 0.734379 9.14406
24 2.35 0.947203 57.1366 1.96037 35.2713 0.0776897 9.27391
25 2.45 0.904928 63.7037 1.5754 38.1187 0.000602101 9.275
